date,clinton,trump,johnson,stein
2015-03-07,7,1,0,0
2015-03-14,3,2,0,0
2015-03-21,2,1,0,0
2015-03-28,2,1,0,0
2015-04-04,5,1,0,0
2015-04-11,28,1,0,0
2015-04-18,7,1,0,0
2015-04-25,5,2,0,0
2015-05-02,3,1,0,0
2015-05-09,3,1,0,0
2015-05-16,3,1,0,0
2015-05-23,3,1,0,0
2015-05-30,3,1,0,0
2015-06-06,4,1,0,0
2015-06-13,5,32,0,0
2015-06-20,3,18,0,0
2015-06-27,4,34,0,0
2015-07-04,4,19,0,0
2015-07-11,3,28,0,0
2015-07-18,4,30,0,0
2015-07-25,4,19,0,0
2015-08-01,6,32,0,0
2015-08-08,7,29,0,0
2015-08-15,7,30,0,0
2015-08-22,6,38,0,0
2015-08-29,5,26,0,0
2015-09-05,5,21,0,0
2015-09-12,6,34,0,0
2015-09-19,5,23,0,0
2015-09-26,5,19,0,0
2015-10-03,7,16,0,0
2015-10-10,10,18,0,0
2015-10-17,13,16,0,0
2015-10-24,8,18,0,0
2015-10-31,5,14,0,0
2015-11-07,5,21,0,0
2015-11-14,6,18,0,0
2015-11-21,3,18,0,0
2015-11-28,4,17,0,0
2015-12-05,5,59,0,0
2015-12-12,5,34,0,0
2015-12-19,9,31,0,0
2015-12-26,5,19,0,0
2016-01-02,6,23,0,0
2016-01-09,8,25,0,0
2016-01-16,11,29,0,0
2016-01-23,11,39,0,0
2016-01-30,19,40,0,0
2016-02-06,17,37,0,0
2016-02-13,11,37,0,0
2016-02-20,15,62,0,0
2016-02-27,25,100,1,0
2016-03-05,20,69,1,0
2016-03-12,21,77,1,0
2016-03-19,13,53,1,0
2016-03-26,14,45,1,0
2016-04-02,13,37,0,0
2016-04-09,13,31,0,0
2016-04-16,15,34,0,0
2016-04-23,14,36,0,0
2016-04-30,19,55,2,0
2016-05-07,14,37,1,0
2016-05-14,13,33,1,0
2016-05-21,14,30,1,0
2016-05-28,14,28,3,0
2016-06-04,38,37,3,1
2016-06-11,18,41,2,0
2016-06-18,13,34,2,1
2016-06-25,14,25,2,1
2016-07-02,26,26,3,1
2016-07-09,18,29,4,3
2016-07-16,33,96,7,2
2016-07-23,73,63,9,6
2016-07-30,28,58,8,4
2016-08-06,23,39,5,2
2016-08-13,17,36,4,2
2016-08-20,22,31,4,1
2016-08-27,17,33,5,1
2016-09-03,21,29,8,2
2016-09-10,76,38,5,2
2016-09-17,27,32,4,1
2016-09-24,61,69,10,3
2016-10-01,32,57,5,2